status,tagline,title,vote_average,vote_count
Released,Prey for the living.,The 13th Warrior,6.4,510
Released,There Was Never Just One,The Bourne Legacy,6,2651
Released,Strength. Courage. Honor. And loyalty.,Batman & Robin,4.2,1418
Released,He puts the mean in green.,How the Grinch Stole Christmas,6.2,1386
Released,Where will you be?,The Day After Tomorrow,6.2,2392
Released,Expect the impossible again.,Mission: Impossible II,5.9,1928
Released,The storm is coming.,The Perfect Storm,6.2,597
Released,Discover the secret of the Surfer.,Fantastic 4: Rise of the Silver Surfer,5.4,2589
Released,Believe The Unbelievable,Life of Pi,7.2,5797
Released,Hell Is About To Be Unleashed,Ghost Rider,5.2,1712
Released,You know his name,Jason Bourne,5.9,2341
Released,This summer the Angels are back.,Charlie's Angels: Full Throttle,5.2,914
Released,The Search for Our Beginning Could Lead to Our End.,Prometheus,6.3,5080
Released,A Little Goes A Long Way,Stuart Little 2,5.4,613
Released,He can save us all.,Elysium,6.4,3439
Released,All the power in the universe can't change destiny,The Chronicles of Riddick,6.3,1570
Released,We've got the future under control.,RoboCop,5.7,2342
Released,Go!,Speed Racer,5.7,354
Released,How do you know it's love?,How Do You Know,4.9,223
Released,Every Hit Man Deserves a Second Shot!,Knight and Day,5.9,1547
Released,Earth is a memory worth fighting for,Oblivion,6.4,4800
Released,The saga is complete.,Star Wars: Episode III - Revenge of the Sith,7.1,4116
Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,Star Wars: Episode II - Attack of the Clones,6.4,3992
Released,We Scare Because We Care.,"Monsters, Inc.",7.5,5996
Released,"When he's most vulnerable, he's most dangerous.",The Wolverine,6.3,4053
Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,Star Wars: Episode I - The Phantom Menace,6.3,4432
Released,Meet the first modern family.,The Croods,6.8,2399
Released,Honor Was Their Code.,Windtalkers,5.8,341
Released,The story before Snow White,The Huntsman: Winter's War,6,1523
Released,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,Teenage Mutant Ninja Turtles,5.8,2636
Released,Don't Let Go,Gravity,7.3,5751
Released,The pressure is building...,Dante's Peak,5.7,428
Released,Raise some shell.,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963
Released,Change is coming.,Fantastic Four,4.4,2278
Released,Where History Comes To Life,Night at the Museum,6.3,2862
Released,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,6,2968
Released,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,Tomorrow Never Dies,6,925
Released,Some things are worth fighting for.,The Patriot,6.8,1099
Released,Twelve is the new eleven.,Ocean's Twelve,6.4,2124
Released,Smart and sexy.,Mr. & Mrs. Smith,6.5,2965
Released,One Choice Can Destroy You,Insurgent,6.2,3829
Released,"For some men, the sky was the limit. For him, it was just the beginning.",The Aviator,7,1489
Released,Something big is going down.,Gulliver's Travels,4.9,621
Released,Breaking the Law to Protect It.,The Green Hornet,5.5,1251
Released,Seize your glory!,300: Rise of an Empire,6.1,2397
Released,Smurf Happens.,The Smurfs,5.5,1179
Released,Bust a Moo,Home on the Range,5.7,389
Released,Break the boundaries of your world,Allegiant,5.9,1998
Released,"If you get one shot, make it real.",Real Steel,6.6,2692
Released,Get ready to get naughty!,The Smurfs 2,5.5,695
Released,"As the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,4.1,434
Released,This is not a game.,Ender's Game,6.6,2303
Released,The old school cop is back!,Live Free or Die Hard,6.4,2089
Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8,8705
Released,Let your imagination soar.,Around the World in 80 Days,5.7,672
Released,Float like a butterfly and sting like a bee.,Ali,6.7,447
Released,Don't mess with the hat.,The Cat in the Hat,4.9,366
Released,Laws are made to be broken.,"I, Robot",6.7,3793
Released,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",Kingdom of Heaven,6.6,1157
Released,The Little Family Just Got Bigger,Stuart Little,5.8,959
Released,Every Love Story Begins With a Kiss...,The Princess and the Frog,6.7,1247
Released,Bring Him Home,The Martian,7.6,7268
Released,Your time will come...,The Island,6.5,1770
Released,There's no such thing as a small affair.,Town & Country,3.7,16
Released,"Ice Cold, Hot Wired.",Gone in Sixty Seconds,6.1,1485
Released,A Hero Will Rise.,Gladiator,7.9,5439
Released,The system is perfect until it comes after you.,Minority Report,7.1,2608
Released,Hogwarts is back in session.,Harry Potter and the Chamber of Secrets,7.4,5815
Released,Everyone has a past. Every legend has a beginning.,Casino Royale,7.3,3855
Released,You'll be sorry you were ever born human,Planet of the Apes,5.6,1243
Released,It's nothing personal.,Terminator 2: Judgment Day,7.7,4185
Released,America's Most Wanted.,Public Enemies,6.5,1344
Released,There are two sides to the American dream,American Gangster,7.4,1502
Released,"When he said I do, he never said what he did.",True Lies,6.8,1116
Released,I can't get it out of my head. I'm gonna die today.,The Taking of Pelham 1 2 3,6.2,954
Released,"Kids bring everyone closer, right?",Little Fockers,5.4,1060
Released,When the cops are busy... Our only hope is...,The Other Guys,6.1,1383
Released,He will erase your past to protect your future.,Eraser,5.6,543
Released,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099
Released,,The Hunchback of Notre Dame,6.8,1129
Released,It's All About.....ME!,The Emperor's New Groove,7.2,1490
Released,Back for War.,The Expendables 2,6.1,2896
Released,The greatest adventure history has ever revealed.,National Treasure,6.4,1926
Released,"As darkness falls, the last dragon will choose its rider.",Eragon,4.9,967
Released,There's one in all of us.,Where the Wild Things Are,6.4,572
Released,Discover a world beyond your imagination,Epic,6.4,1121
Released,It all started when he met a woman,The Tourist,6,1699
Released,Prepare for the end.,End of Days,5.5,482
Released,It will cost you everything.,Blood Diamond,7.3,2281
Released,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
Released,"Courage now, truth always...",Batman Forever,5.2,1498
Released,The only good bug is a dead bug.,Starship Troopers,6.7,1560
Released,Everything is Connected,Cloud Atlas,6.6,2977
Released,On his way to finding a legend...he will become one.,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703
Released,CATch her in IMAX,Catwoman,4.2,808
Released,"Before he was a legend, he was a man.",Hercules,5.6,1680
Released,Find your place in the universe.,Treasure Planet,7.2,948
Released,Right place. Wrong time.,Land of the Lost,5.3,381
Released,New team. New attitude. New mission.,The Expendables 3,6.1,1795
Released,The only law that matters is gravity,Point Break,5.5,783
Released,Who's next?,Son of the Mask,3.6,338
Released,Based on the incredible true story that inspired Moby Dick,In the Heart of the Sea,6.5,1276
Released,Action's future has arrived...,The Adventures of Pluto Nash,4.4,142
Released,Chief Warrant Officer Roy Miller is done following orders,Green Zone,6.4,717
Released,The story of an underdog. And his dog.,The Peanuts Movie,6.5,604
Released,It's the oldest con in the book.,The Spanish Prisoner,7.1,73
Released,The most powerful force on earth is about to be unleashed by the two people who should know better.,The Mummy Returns,6,2206
Released,America was born in the streets.,Gangs of New York,7.1,1910
Released,"In the coldest place on Earth, he's the hottest thing around.",Surf's Up,5.9,601
Released,The wives of Stepford have a secret.,The Stepford Wives,5.4,334
Released,Leave No Man Behind.,Black Hawk Down,7.2,1811
Released,May The Best Loser Win.,The Campaign,5.6,578
Released,There is no future without it.,The Fifth Element,7.3,3885
Released,Carrie on.,Sex and the City 2,5.4,426
Released,They came for the gold... they stayed for the adventure.,The Road to El Dorado,7,858
Released,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift.",Ice Age: Continental Drift,6.2,2672
Released,Midnight is just the beginning.,Cinderella,6.7,2374
Released,The story of a life and everything that came after...,The Lovely Bones,6.6,1065
Released,"There are 3.7 trillion fish in the ocean, they're looking for one.",Finding Nemo,7.6,6122
Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8064
Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8,7487
Released,"When darkness falls, the son will rise. When the son falls, the dark knight will rise.",Seventh Son,5.2,957
Released,Born into Wealth. Groomed by the Elite. Trained for Combat.,Lara Croft: Tomb Raider,5.7,2192
Released,"Yesterday, Dr. Will Caster was only human...",Transcendence,5.9,2295
Released,"This time, it's not just a walk in the park!",Jurassic Park III,5.7,2077
Released,Evolution Becomes Revolution.,Rise of the Planet of the Apes,7,4347
Released,Their World Is Closer Than You Think.,The Spiderwick Chronicles,6.3,572
Released,Yippee Ki-Yay Mother Russia,A Good Day to Die Hard,5.2,3493
Released,You will never forget,The Alamo,5.8,106
Released,"No gut, no glory",The Incredibles,7.4,5152
Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,136
Released,Worlds Collide,Percy Jackson & the Olympians: The Lightning Thief,6,2010
Released,Protecting the Earth from the scum of the universe.,Men in Black,6.9,4412
Released,The toys are back!,Toy Story 2,7.3,3806
Released,"1,000,000 Tons. 100,000 Lives. 100 Minutes.",Unstoppable,6.3,1165
Released,Get ready for a second Rush!,Rush Hour 2,6.4,1054
Released,He was the perfect husband until his one mistake followed them home.,What Lies Beneath,6.3,488
Released,Prepare to get served.,Cloudy with a Chance of Meatballs,6.5,1747
Released,You Won't Believe Your Ice!,Ice Age: Dawn of the Dinosaurs,6.5,2271
Released,"Stop Dreaming, Start Living",The Secret Life of Walter Mitty,7,3144
Released,Get Some Action,Charlie's Angels,5.6,1232
Released,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,7.9,4339
Released,"This time, the princess saves the prince.",Mulan,7.6,2008
Released,The movie they think they're making... isn't a movie anymore.,Tropic Thunder,6.5,1667
Released,Evil shall with evil be expelled.,The Girl with the Dragon Tattoo,7.2,2434
Released,Think fast. Look alive. Die hard.,Die Hard: With a Vengeance,6.9,2066
Released,Nothing escapes him.,Sherlock Holmes,7,5766
Released,First to finish. Last to die.,Ben-Hur,5.3,621
Released,Atlantis is waiting...,Atlantis: The Lost Empire,6.7,1224
Released,Fast & furry-ous,Alvin and the Chipmunks: The Road Chip,5.8,428
Released,Many saw evil. They dared to stop it.,Valkyrie,6.7,1173
Released,Lather. Rinse. Save the world.,You Don't Mess with the Zohan,5.5,1048
Released,Game On.,Pixels,5.6,2513
Released,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.",A.I. Artificial Intelligence,6.8,1974
Released,Check your pulse at the door... if you have one.,The Haunted Mansion,5.2,466
Released,"If it's just us, it seems like an awful waste of space.",Contact,7.2,1308
Released,What would you do if you knew you couldn't be seen?,Hollow Man,5.6,634
Released,The truth needs no translation.,The Interpreter,6.2,392
Released,"Where There Are Gods, There Are Monsters.",Percy Jackson: Sea of Monsters,5.9,1648
Released,Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418
Released,You Haven't Seen Anything Yet,Now You See Me 2,6.7,3235
Released,Never reveal your name. Never turn your back. Never surrender your heart.,The Saint,5.9,302
Released,It's not how you play the game. It's how the game plays you.,Spy Game,6.8,579
Released,Let There Be Life.,Mission to Mars,5.7,369
Released,1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.,Rio,6.5,2166
Released,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,6.9,963
Released,The coast is toast,Volcano,5.2,376
Released,"They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war.",The Devil's Own,5.9,290
Released,Fate has found its hero.,K-19: The Widowmaker,6.1,264
Released,Thief. Warrior. Gladiator. King.,Conan the Barbarian,6.6,650
Released,One man's extraordinary fight to save the family he loved.,Cinderella Man,7.3,616
Released,,The Nutcracker: The Untold Story,5.4,50
Released,The hopes of a nation rode on a long shot.,Seabiscuit,6.7,216
Released,The Dark Side of Nature.,Twister,6.1,950
Released,"At the edge of the world, his journey begins.",Cast Away,7.5,3218
Released,WARNING: May Cause Toe-Tapping.,Happy Feet,5.9,1410
Released,They should have left him alone.,The Bourne Supremacy,7.2,2825
Released,The fate of a nation rests on the courage of one man.,Air Force One,6.2,840
Released,Are you in or out?,Ocean's Eleven,7.2,3783
Released,Every legend has a new beginning.,The Three Musketeers,5.6,924
Released,Where monsters go to get away from it all,Hotel Transylvania,6.8,2566
Released,This fairytale princess is about to meet a real Prince Charming,Enchanted,6.6,1449
Released,No one is safe,Safe House,6.3,1345
Released,Meet Two Unlikely Heroes With A Bone To Pick.,102 Dalmatians,5.1,313
Released,Ordinary guys. An extraordinary robbery.,Tower Heist,5.8,932
Released,It's Christmas Eve and we are going to go celebrate being young and being alive.,The Holiday,6.7,1225
Released,It's not paranoia if they're really after you.,Enemy of the State,6.7,1240
Released,First comes marriage. Then comes divorce. And then...,It's Complicated,6.2,360
Released,What are the odds of getting even? 13 to one.,Ocean's Thirteen,6.5,1999
Released,One Fur All & All Fur One,Open Season,6.1,656
Released,What makes you different makes you dangerous.,Divergent,6.9,4663
Released,Some Men Are Born To Be Heroes.,Enemy at the Gates,7.2,999
Released,cut to the chase,The Rundown,6.4,514
Released,This isn't the movies anymore.,Last Action Hero,6.1,712
Released,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",Memoirs of a Geisha,7.3,652
Released,"On the streets of Tokyo, speed needs no translation...",The Fast and the Furious: Tokyo Drift,6.1,1705
Released,Ever wonder how 2 Billion presents get delivered all in 1 night?,Arthur Christmas,6.7,333
Released,Sooner or later everyone does.,Meet Joe Black,6.9,1147
Released,What would you do if you lost everything?,Collateral Damage,5.5,427
Released,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,All That Jazz,7.3,85
Released,The Snow White legend comes alive.,Mirror Mirror,5.5,1114
Released,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,Scott Pilgrim vs. the World,7.2,2126
Released,Earth has a deadline.,The Core,5.4,516
Released,The Klumps are back!,Nutty Professor II: The Klumps,4.7,332
Released,Get a Clue,Scooby-Doo,5.4,820
Released,Judgement is coming,Dredd,6.6,1940
Released,What If You Had A Remote... That Controlled Your Universe?,Click,6,2104
Released,The Most Fun You'll Ever Have... BEING SCARED!,Creepshow,6.7,226
Released,Just like real spies... only furrier.,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119
Released,anywhere is possible.,Jumper,5.9,1799
Released,Saving the world is a hell of a job.,Hellboy II: The Golden Army,6.5,1527
Released,There's more than one way to lose your life to a killer.,Zodiac,7.3,2023
Released,Are You Who You Think You Are,The 6th Day,5.7,595
Released,In Bruce we trust,Bruce Almighty,6.4,3012
Released,Choose Your Weapon.,The Expendables,6,2926
